"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000021536.7_Adcy2","Adcy2",130.872936228838,2.46078813882068,0.306652503236079,8.02467976896381,1.01791125218352e-15,1.99241405757971e-13
"ENSMUSG00000024308.15_Tapbp","Tapbp",5801.65799552103,2.32308983372283,0.289556443883702,8.02292569477707,1.03255815961722e-15,2.00451700429298e-13
"ENSMUSG00000040253.15_Gbp7","Gbp7",4538.76590915996,2.05749191780914,0.256801750035657,8.01198557846063,1.12871105429879e-15,2.17336525284656e-13
"ENSMUSG00000050350.8_Gpr18","Gpr18",53.6520757885651,3.29808319068989,0.411844557445369,8.00807763770772,1.16515344313103e-15,2.22544307638027e-13
"ENSMUSG00000027639.16_Samhd1","Samhd1",4209.89582724528,2.31567743404747,0.289275578789664,8.00509135177021,1.19378018493358e-15,2.26187919199735e-13
"ENSMUSG00000014602.15_Kif1a","Kif1a",189.519459592498,2.77556364264325,0.346954972511256,7.99978055525116,1.24641145107129e-15,2.33478258983119e-13
"ENSMUSG00000030789.9_Itgax","Itgax",2923.72352147148,3.65486871997002,0.456902436599849,7.99923228067815,1.25197343737781e-15,2.33478258983119e-13
"ENSMUSG00000055170.4_Ifng","Ifng",60.2780813610465,4.74836251591809,0.594162519215384,7.99168975213802,1.33101653508811e-15,2.46279653258021e-13
"ENSMUSG00000074342.3_I830077J02Rik","I830077J02Rik",87.2613935551581,1.97489664697054,0.247175569648516,7.98985372939099,1.35098948882931e-15,2.48037481034367e-13
"ENSMUSG00000031506.11_Ptpn7","Ptpn7",448.250813361423,2.60465399056338,0.326133054201849,7.98647655306756,1.38850159388679e-15,2.50301076307797e-13
"ENSMUSG00000032089.16_Il10ra","Il10ra",1381.62780576116,2.58595048296822,0.323834295522425,7.98541265926278,1.4005299630285e-15,2.50301076307797e-13
"ENSMUSG00000069874.7_Irgm2","Irgm2",3161.89254274379,2.40740881056079,0.301467171332335,7.98564168669256,1.39793194316901e-15,2.50301076307797e-13
"ENSMUSG00000079298.9_Klrb1b","Klrb1b",318.185873093531,4.01508363172599,0.502830296689235,7.984967608679,1.40559209377373e-15,2.50301076307797e-13
"ENSMUSG00000056069.10_Otulinl","Otulinl",482.231419913825,2.06558313565893,0.258725615630675,7.98368236799366,1.42031217462642e-15,2.51034877192926e-13
"ENSMUSG00000039264.9_Gimap3","Gimap3",547.465448823329,3.57323043065227,0.447737834265348,7.98063097909797,1.45587118764569e-15,2.55413727468151e-13
"ENSMUSG00000050014.8_Apol10b","Apol10b",51.3472834666114,2.93999018112669,0.368809160268976,7.97157581168136,1.5666374083557e-15,2.72825296908061e-13
"ENSMUSG00000026023.16_Cdk15","Cdk15",82.6585870037181,-3.42741756543079,0.430129388149588,-7.96834082919911,1.60818825933375e-15,2.78017012657377e-13
"ENSMUSG00000048163.13_Selplg","Selplg",912.214747754942,2.82273534363501,0.354438298495425,7.96396821567363,1.66608069631662e-15,2.85938081243209e-13
"ENSMUSG00000026012.2_Cd28","Cd28",181.609564342505,3.3383409566589,0.419464503079465,7.95857797775673,1.74027708102121e-15,2.96060641137094e-13
"ENSMUSG00000027995.10_Tlr2","Tlr2",1024.93763460366,2.74571015847494,0.345068379769148,7.95700307374389,1.76256335079929e-15,2.96060641137094e-13
